Bogen;Segmentierte Handschrift;Segmentierte Handschrift;Ich stimme der Datenverarbeitung sowie der Datenweitergabe für Lehrforschungszwecke und die Verbesserung der Lehre an der Medizinischen Fakultät der Universität Ulm zu.;Q9-Skripte, digitale Nutzung;Q9-Skripte, Papierdruck;Lehrbuch/-bücher Wenn ja, welches Lehrbuch nutzen Sie primär? ____________________________________________;Leitlinien der Fachgesellschaften (im Original);Anki-Lernkarten (bereitgestellt durch Institut für klin. Pharmakologie);Anki-Lernkarten (selbst oder anderweitig erstellt);Aufgaben/Patientenfälle auf Moodle;Testfragen auf Moodle;andere: ____________________________________________;2. Wie kann Ihre grundsätzliche Haltung gegenüber E-Learning-Angeboten beschrieben werden?;Lernskripte;zeitunabhängig angebotene Vorlesungs- und Seminarvideos;Online-Live-Veranstaltungen an bestimmten Terminen (z.B. über Zoom);Präsenzveranstaltungen an bestimmten Terminen;Aufgaben zur eigenständigen Bearbeitung (mit Lösung);Testfragen zu den Lerninhalten;Anki-Lernkarten (bereitgestellt durch Institut für klinische Pharmakologie);Anki-Lernkarten (selbst oder anderweitig erstellt);alle sind gleich nützlich;4. Welche Form der Lehre würden Sie in Zukunft bevorzugen?;5. Haben Sie die Anki-Lernkarten Klinische Pharmakologie genutzt?;6. Haben Sie die Anki-Lernkarten als Lernmaterial als hilfreich empfunden?;7. In welchem Umfang haben Sie die Anki-Lernkarten verwendet?;Installation des Programms(Zeit in Stunden):                                       ;Einarbeiten/Lesen der Bedienungsanleitung (Zeit in Stunden):;Lernen mit Anki-Lernkarten (durchschnittliche Stunden pro Woche, innerhalb der letzten 6 Monate):;semesterbegleitend ;zur Prüfungsvorbereitung;in speziellen Situationen, z.B. im Bus/Zug;Sonstiges: ____________________;PC;Laptop;Tablet;Handy;Ich hatte nicht ausreichend Zeit dazu. ;Die Lernkarten haben mich nicht interessiert.;Das bestehende Angebot an Lehrmaterialien war für mich ausreichend.;Die Installation der Software und/oder die Auseinandersetzung mit der Bedienungsanleitung waren mir zu aufwändig.;Ich wusste nicht, dass es die Lernkarten gibt.;Ich nutze eigene Lernkarten.;Sonstige Gründe: ______________________________________;12. Sollten Ihrer Meinung nach Anki-Lernkarten in Zukunft weiter angeboten werden?;13. Haben Sie Anmerkungen zu den Anki-Lernkarten? Haben Sie Anmerkungen zum Q9-Unterricht?;14. Wie schätzen Sie Ihre Studienleistung  insgesamt im Vergleich zu anderen Studierenden Ihres Semesters ein?;15. Wie schätzen Sie Ihre Studienleistung  im Fach Klinische Pharmakologie im Vergleich zu anderen Studierenden Ihres Semesters ein?;Nein, nicht wesentlich.;Ja, ich habe seitdem weniger Zeit mit studienbezogenen Tätigkeiten (z.B. Lernen) verbracht als zuvor.;Ja, ich habe seitdem mehr Zeit mit studienbezogenen Tätigkeiten (z.B. Lernen) verbracht als zuvor.;Ja, ich verwende seitdem mehr E-Learning-Tools als vorher.;Ja, ich lerne seitdem weniger gemeinsam mit Kommilitonen/in Lerngruppen als vorher.;Ja, ich lerne seitdem mehr gemeinsam mit Kommilitonen/in Lerngruppen als vorher.;Sonstige Veränderungen: ______________________________________;Wie alt sind Sie (in Jahren)?;Bitte geben Sie Ihr Geschlecht an:;Datensatz-Ursprung;exam score
125;AL   22;PE   12;1;1;0;0;0;0;0;1;0;1;1;0;1;0;1;1;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];3;1;0;0;0;1;1;0;0;ZZ;1;P;
90;AL   26;JE   18;1;1;0;0;0;0;1;0;0;0;1;1;1;0;1;1;1;1;1;0;2;2;;;;;;;;;;;;;;0;0;0;0;0;1;0;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;2;P;
2;AN   01;MA   22;1;1;0;0;0;1;1;1;0;0;1;1;1;0;1;1;1;1;1;0;3;1;1;3;0,1;1OO;ZOO;1;1;0;0;0;1;0;0;;;;;;;;1;[LEER];4;3;0;1;0;1;0;0;0;Z4;2;P;
138;AN   01;PA   12;1;1;0;1;1;0;1;1;0;0;1;1;0;0;0;1;0;0;1;0;1;2;;;;;;;;;;;;;;0;0;0;0;0;0;1;1;[LEER];3;3;1;0;0;0;0;0;0;ZI;1;P;
190;AN   01;MA   01;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;2;2;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];4;3;1;0;0;0;0;0;0;ZO;1;P;
171;AN   05;MA   15;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];3;2;0;0;1;1;1;0;0;Z1;2;P;
186;AN   06;DA   18;1;1;0;0;0;0;0;1;0;0;2;1;0;0;1;0;1;0;0;0;2;2;;;;;;;;;;;;;;1;1;1;1;0;0;0;1;[LEER];4;4;0;1;0;1;0;0;0;ZZ;1;P;
94;AN   08;TH   03;1;1;0;0;0;1;0;1;0;0;1;1;0;0;0;1;1;1;0;0;3;1;1;2;;;^;0;1;0;0;0;0;1;0;;;;;;;;;[LEER];;;0;0;1;1;0;0;0;Z5;1;P;
144;AN   15;SE   27;1;1;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;3;;1;2;OO1;OO1;OOZ;0;1;0;0;0;1;0;0;;;;;;;;1;[LEER];3;3;0;1;0;1;0;0;0;ZZ;1;P;
158;AN   15;HO   23;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;3;2;;;;;;;;;;;;;;0;0;0;0;0;1;0;1;[LEER];3;3;1;0;0;0;0;0;0;24;1;P;
111;AN   16;TN   20;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;[LEER];3;4;0;0;1;0;0;0;0;ZZ;1;P;
36;AN   17;MA   22;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;2;^;O;1O;0;1;0;0;0;0;1;0;;;;;;;;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;
51;AN   18;WA   27;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;
