"","used_script_digital","used_script_physical","used_textbook","used_guideline","used_anki","used_custom_anki","used_moodle_quiz","used_moodle_task","used_other"
"Kurssemester 22",88.659793814433,36.0824742268041,17.5257731958763,13.4020618556701,45.360824742268,16.4948453608247,72.1649484536082,44.3298969072165,14.4329896907216
"Propädeutikum 22",89.7849462365591,29.5698924731183,11.8279569892473,15.5913978494624,12.9032258064516,10.2150537634409,41.9354838709677,86.5591397849462,6.45161290322581
"Kurssemester 22/23",86.864406779661,28.3898305084746,13.135593220339,14.8305084745763,44.9152542372881,26.271186440678,42.3728813559322,87.2881355932203,20.3389830508475
"Propädeutikum 22/23",93.2584269662921,33.7078651685393,15.7303370786517,20.2247191011236,28.0898876404494,20.2247191011236,88.7640449438202,16.8539325842697,14.6067415730337
